"Id","SalePrice"
1461,126315.138093486
1462,151230.371069264
1463,181828.220666667
1464,191265.445247619
1465,193832.830484894
1466,178580.011349206
1467,173524.784350649
1468,174336.563323232
1469,182253.898295238
1470,123460.735306638
1471,206985.721447569
1472,101060.351177822
1473,112120.438951227
1474,158892.669261905
1475,121471.451506112
1476,390343.719121102
1477,248227.582300278
1478,308927.261868225
1479,284010.985494016
1480,472764.479660173
1481,309471.938916509
1482,207555.516724896
1483,178649.628337062
1484,174338.677773644
1485,172122.711975811
1486,204683.127321106
1487,337931.915700535
1488,245375.309040725
1489,199781.675276792
1490,222550.638796703
1491,187504.852324727
1492,92577.0080470249
1493,178312.152380952
1494,288340.1713644
1495,293503.447003164
1496,234219.884941636
1497,192205.090209968
1498,158100.540967309
1499,156274.04406399
1500,165372.420382939
1501,173766.948061192
1502,153767.309593931
1503,286705.635081313
1504,237119.465804289
1505,221812.85759081
1506,173345.554865079
1507,248630.091166667
1508,188487.684761905
1509,159146.469587302
1510,153135.01134127
1511,148007.606313553
1512,173938.555090909
1513,147889.318873016
1514,156314.890555556
1515,212393.729498168
1516,157254.275851541
1517,149089.988069597
1518,134868.464191233
1519,232256.868171016
1520,138376.50967758
1521,140720.478839419
1522,166212.497619048
1523,112580.108338885
1524,114410.890275336
1525,126169.296686203
1526,123359.167344278
1527,106431.532799185
1528,131032.1387442
1529,144063.207373626
1530,171845.777860317
1531,139635.175490476
1532,105655.384030014
1533,138404.895073764
1534,124281.071727529
1535,161306.765583333
1536,123540.649835059
1537,105231.751642857
1538,167842.150666667
1539,210291.424063492
1540,133081.063845238
1541,147944.652547619
1542,146051.069256993
1543,201535.118142857
1544,85322.844499232
1545,109275.407977761
1546,133025.744154571
1547,144631.910984127
1548,130812.135389231
1549,124535.912273809
1550,150019.775455988
1551,121751.018206597
1552,154071.783333333
1553,146610.275952381
1554,110824.947253145
1555,167623.168533333
1556,104374.508601565
1557,123793.827332707
1558,103194.204275652
1559,121820.906468421
1560,147976.109571429
1561,162034.046479532
1562,124561.253534606
1563,122647.404353447
1564,164303.715945736
1565,154353.388831502
1566,210559.630222222
1567,86190.5392983193
1568,216187.573047619
1569,152323.917333333
1570,129909.352888889
1571,125752.102089744
1572,138876.624281385
1573,233668.48031634
1574,138008.408509158
1575,220995.87105
1576,229295.402873016
1577,199874.213768301
1578,138562.381003463
1579,144335.592951546
1580,189086.304330532
1581,136681.984023809
1582,125831.877768673
1583,325027.06868394
1584,246463.147496831
1585,139966.685276157
1586,84087.8564675324
1587,103970.340436508
1588,144290.274860731
1589,108618.489185061
1590,133610.880655744
1591,103533.773207936
1592,134902.161489027
1593,113743.410764706
1594,145442.203271429
1595,133864.001134294
1596,232178.048666667
1597,176431.99318241
1598,177778.079505556
1599,178206.618366947
1600,180055.908760462
1601,76747.3988856789
1602,120744.931272727
1603,90095.1325506494
1604,278161.609009957
1605,247947.793095072
1606,169054.496888889
1607,183008.946777778
1608,206274.287791527
1609,189541.172033123
1610,165716.076259707
1611,142658.493679221
1612,182294.486463089
1613,175114.40216811
1614,130058.914510578
1615,97281.4427301587
1616,95101.1504603175
1617,97065.0398502164
1618,128564.465689588
1619,132290.38130101
1620,189061.626
1621,148840.205984127
1622,149792.392161404
1623,281514.017094448
1624,226005.4609169
1625,122520.342221978
1626,167536.147587302
1627,189954.666166667
1628,268662.811716033
1629,174225.891992613
1630,329861.645442857
1631,198987.464022466
1632,230579.924513946
1633,172973.748464849
1634,186185.430734593
1635,175331.886896825
1636,164416.667109091
1637,185660.657
1638,202431.237545015
1639,182785.675888889
1640,246388.957333333
1641,175060.705111111
1642,227569.423376087
1643,227691.857582385
1644,226775.404649326
1645,191707.524666667
1646,154611.85452381
1647,160506.163619048
1648,140841.284502381
1649,133927.021276623
1650,120545.593460857
1651,119254.502997221
1652,93915.5771046287
1653,96071.893458164
1654,159166.866945736
1655,148823.204898117
1656,152089.266160022
1657,155440.927604467
1658,162277.668810816
1659,132111.246640222
1660,149770.75276437
1661,457834.725973338
1662,378263.640061765
1663,372534.546148726
1664,433700.130785243
1665,331082.560466234
1666,319563.228037304
1667,357348.851120168
1668,332600.715697186
1669,295734.188689171
1670,339161.202305977
1671,265585.978177417
1672,437412.091819557
1673,306225.414401075
1674,252385.329087027
1675,198445.920831946
1676,195483.948271628
1677,217761.122559522
1678,429142.448583983
1679,370257.768337955
1680,322752.306744963
1681,266563.388990196
1682,294425.83055101
1683,184245.996995382
1684,175457.557358504
1685,174622.432951474
1686,170703.458632648
1687,169095.371184686
1688,190012.196162192
1689,187233.227455414
1690,183111.01801298
1691,177942.869265062
1692,248990.774627417
1693,165295.259893237
1694,180205.620442613
1695,171523.614472583
1696,271862.223840088
1697,171280.290373016
1698,340570.458430694
1699,323583.000276107
1700,246848.341326007
1701,262895.185305792
1702,256378.491153906
1703,267662.91076757
1704,288828.737426551
1705,236304.784633333
1706,448538.584909053
1707,224969.566542808
1708,217384.521039333
1709,265765.675602095
1710,233777.643006992
